username,author_id,conversation_id,created_at,hashtags,mentions,like_count,quote_count,reply_count,retweet_count,retweet,reply,quote,reply_settings,source,text
n_arthaud,1003575248,1444013496119791624,2021-10-01T18:57:00.000Z,['Sarkozy'],['n_arthaud'],0,0,0,242,True,False,False,everyone,Twitter for Android,RT @n_arthaud: #Sarkozy est il toujours d’accord avec Sarkozy ? https://t.co/9fXRH0AO81
n_arthaud,1363474701436207109,1443646840424050691,2021-09-30T18:40:03.000Z,"['BumblingProgrammingDad', 'pythoncode', 'twitterdev']",,4,0,3,0,False,False,False,everyone,Twitter Web App,"This is really sad.

I am posting this tweet to check if some Python code works.  

#BumblingProgrammingDad
#pythoncode 
#twitterdev"
n_arthaud,1003575248,1443603082970009604,2021-09-30T15:46:10.000Z,['Sarkozy'],,890,6,18,242,False,False,False,everyone,Twitter for iPhone,#Sarkozy est il toujours d’accord avec Sarkozy ? https://t.co/9fXRH0AO81
n_arthaud,263744389,1443159480334798849,2021-09-29T10:23:27.000Z,['twitterDev'],,1,0,0,0,False,False,False,everyone,Twitter Web App,"Excited to be working on my pet project again.

Spoiler: all of you, my Twitter friends, will have fun using it😉

Teasers &amp; sneak peeks are here to come but a bit later 🤞

#twitterDev"
n_arthaud,1003575248,1443156542237335558,2021-09-29T10:11:46.000Z,"['Covid', 'Macron']",,112,6,2,76,False,False,False,everyone,Twitter for iPhone,"5700 lits d'hospitalisation fermés en 2020. En plein #Covid-19 #Macron a poursuivi la grande saignée continuant de sacrifier la santé publique sur l'autel des profits. Et ces criminels voudraient faire porter le chapeau aux soignants. Révoltant.
https://t.co/xlPZnp7KL5"
n_arthaud,1003575248,1443115726584393728,2021-09-29T07:29:35.000Z,['Allemagne'],"['LutteOuvriere', 'n_arthaud', 'TV5MONDE']",0,0,0,6,True,False,False,everyone,Twitter for iPhone,"RT @LutteOuvriere: @n_arthaud sur @TV5MONDE :
Le ""couple franco-allemand"" après les élections en #Allemagne ? Toujours la guerre économique…"
n_arthaud,1003575248,1442951729381736453,2021-09-28T20:37:55.000Z,['migrants'],"['LutteOuvriere', 'n_arthaud', 'TV5MONDE']",0,0,0,28,True,False,False,everyone,Twitter for iPhone,"RT @LutteOuvriere: @n_arthaud sur @TV5MONDE :
Comment concilier accueil des #migrants et respect des travailleurs ""nationaux"" ?
👉 Ce ne son…"
n_arthaud,1003575248,1442951705767792641,2021-09-28T20:37:50.000Z,,"['LutteOuvriere', 'n_arthaud', 'TV5MONDE']",0,0,0,15,True,False,False,everyone,Twitter for iPhone,"RT @LutteOuvriere: @n_arthaud sur @TV5MONDE :
Qu'est-ce qui vous distingue des candidatures du PCF ou du NPA ? Qu'est-ce qu'être communiste…"
n_arthaud,1003575248,1442951672880250881,2021-09-28T20:37:42.000Z,"['Zemmour', 'MarineLePen']","['LutteOuvriere', 'n_arthaud', 'TV5MONDE']",0,0,0,15,True,False,False,everyone,Twitter for iPhone,"RT @LutteOuvriere: @n_arthaud sur @TV5MONDE :
Je combats #Zemmour, #MarineLePen : ce sont des ennemis des travailleurs, c'est le poison de…"
n_arthaud,1003575248,1442913554940657665,2021-09-28T18:06:14.000Z,"['grève', 'éboueurs', 'Marseille', 'essentiels']",,123,4,3,43,False,False,False,everyone,Twitter for iPhone,"Solidaire de la #grève des #éboueurs de #Marseille. Ils font un métier pénible, sont mal payés. Et il faudrait qu’ils bossent 28 jours de + ? On demande aux actionnaires parasites de travailler ne serait ce qu’1 heure ? Non ! Alors pas touche à ceux qui sont #essentiels !"
